track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
1CzjJzPOCLkZr2oqiOrXjc,114773,39,0.79,0.0495,0.547,0.0,0.114,-9.974,0.108,135.037,4,1
23slkWAmlcxi3XcSwC9RLZ,122813,46,0.706,0.0263,0.268,0.0,0.239,-13.22,0.287,130.048,4,1
6GNG0YQixWuLE0M5FtrRxY,141582,62,0.472,0.0757,0.847,0.0,0.3,-6.347,0.0419,150.164,4,1
0TqNfrOY2IrpFRI2zxsMq4,107467,37,0.878,0.123,0.584,0.0,0.105,-10.014,0.419,125.069,4,1
1djb4ACCvrs7MPnKwA9w9I,208274,38,0.916,0.404,0.382,0.0,0.379,-12.46,0.368,129.985,4,1
4SRBv9M0wIPIw916zWfhkU,139130,39,0.719,0.111,0.5,0.000416,0.0992,-9.654,0.318,137.924,4,1
03vMyCyCK7pVWjC1i1zur0,237505,45,0.755,0.337,0.626,0.0,0.137,-6.247,0.293,110.088,4,1
26UmIgkm68J3SVvXhqt5St,132821,43,0.583,0.00126,0.443,0.961,0.107,-10.613,0.116,121.993,4,1
1pjMiOvZvwIQS1yyMrQZ0M,171013,40,0.647,0.00229,0.422,0.00665,0.222,-10.9,0.0474,157.992,4,1
5LpnrXjrt0BOU0iOGH78UN,111048,41,0.784,0.0966,0.519,0.0109,0.0748,-9.868,0.096,129.953,3,1
1Bg2CNZw6S4e9cGWPmi0uI,117239,69,0.891,0.000674,0.628,0.0,0.119,-6.35,0.105,131.06,4,1
6Mfh9o1FjAiA3gU5q21OD6,171165,63,0.497,0.587,0.637,0.0,0.328,-8.594,0.609,161.079,4,1
79XrkTOfV1AqySNjVlygpW,181933,72,0.747,0.38,0.571,0.0,0.534,-7.916,0.478,172.104,4,1
46hIXlvcxqiPqSPIyxOrs9,325426,27,0.657,0.083,0.669,0.0,0.108,-5.417,0.0496,131.998,4,1
6xczQgrsVl3jFO3eEoNMK0,138120,28,0.695,0.00137,0.672,2.34e-06,0.126,-10.004,0.0469,133.007,4,1
7gdhZ5u9T1tmvd3zud1yQZ,80404,44,0.952,0.0257,0.406,0.000578,0.1,-5.634,0.344,127.027,4,1
0zXnqruuTKhV7dTmbaO52L,125021,53,0.815,0.715,0.209,0.000854,0.133,-16.526,0.516,132.689,4,1
176LvsOHbOXcgJgBBZ8wgs,91585,47,0.764,0.00994,0.456,0.925,0.111,-10.227,0.264,125.965,4,1
3V7o9lJBwqrJiC1FiyQRz6,149373,38,0.633,0.0521,0.408,0.0,0.152,-11.022,0.137,130.181,4,1
1w4XLeZi73c56N1C9QcIoB,107832,40,0.788,0.0348,0.433,0.000114,0.203,-7.358,0.311,140.012,4,1
41KwHpVfT6lmaBG5kegLoe,92368,41,0.759,0.448,0.385,0.05,0.0847,-14.089,0.0882,157.033,4,1
1ePBIQqAIkQ6hTCSCKB1wB,119250,34,0.877,0.665,0.157,0.0384,0.106,-19.359,0.136,96.694,5,1
2Ge26JkRTyJ96T8KbsCzMI,136333,29,0.738,0.0856,0.487,0.0249,0.132,-8.735,0.106,139.95,4,1
5qUDYpihgX7UkBs15219WT,123936,38,0.743,0.00872,0.311,0.525,0.11,-13.114,0.224,77.49,4,1
7hVhyJTFsimfq6GlGEPi0G,137195,39,0.829,0.419,0.362,0.00284,0.0879,-13.252,0.131,77.469,4,1
0CfHAgwAGHXS0bG8MvI5TV,136146,39,0.85,0.0184,0.54,0.0,0.293,-8.434,0.214,120.968,4,1
1uJGWwJ0NZYvGD4kbKlOTl,116897,54,0.709,0.429,0.569,0.00026,0.105,-9.269,0.364,76.031,4,1
53d1tlSLNunnKIQAHpHRSO,123181,37,0.644,0.116,0.678,0.0,0.0742,-8.986,0.0331,139.808,4,1
2h07VxASyzG42ZW9Q0eIWb,103581,45,0.839,0.451,0.402,1.01e-06,0.118,-9.296,0.174,129.97,4,1
4p5uCm9zpk91WAJOS2xVXy,135349,44,0.823,0.512,0.717,0.0,0.303,-7.559,0.55,139.953,4,1
6P8rBeOxn0ervew8cr0jcD,128538,47,0.808,0.00562,0.535,0.000944,0.147,-10.002,0.0522,129.995,4,1
7nPjDGg89BVpS2zuQDclGV,118153,48,0.749,0.0346,0.397,0.00128,0.17,-10.077,0.168,77.967,4,1
0cdv2x7SWb6iRvKMTWsjHA,141973,41,0.812,0.0479,0.369,1.82e-06,0.106,-12.039,0.378,143.07,4,1
3mVZRgQqVNu01Z3nXemulI,127320,45,0.861,0.0451,0.413,0.0543,0.101,-12.732,0.148,152.995,4,1
5avbC3DUWAO8KWCIEQjfiM,264093,54,0.502,0.15,0.696,0.0,0.382,-4.875,0.41,86.353,4,1
6mvEk4k2zDgm8GbVJlAnyg,96048,50,0.783,0.229,0.471,0.0316,0.341,-8.792,0.345,154.976,4,1
0w6webWdhjRKdqJ3DeGgM1,169828,60,0.567,0.00192,0.462,3.57e-06,0.106,-7.794,0.36,152.236,4,1
1u9DoBpPb7oh2NOBDsnpTo,97973,44,0.711,0.0327,0.514,0.0,0.13,-9.698,0.0524,140.126,4,1
0Tm6x4oJEjijVO7Yuqtfda,149946,64,0.824,0.0361,0.666,0.0,0.388,-7.079,0.228,144.02,4,1
3ZJvhiwmrVrvxjq18AAKoS,94549,29,0.411,0.281,0.647,0.0105,0.122,-10.004,0.261,81.45,5,1
7ibRB2S2WOfPKSvYkhcYtj,132115,59,0.78,0.233,0.453,1.98e-06,0.114,-9.926,0.337,155.984,4,1
28JCjRpPSZqlmvIDF3SSjo,152863,41,0.587,0.0376,0.785,0.0,0.148,-9.564,0.0723,157.146,5,1
1360nnYaxJzEi6TlVoJgj9,135586,47,0.74,0.0306,0.382,3.36e-06,0.31,-8.861,0.114,70.045,4,1
4DkZDzcHicZBXCEdA19oWs,168306,58,0.814,0.186,0.661,0.0,0.163,-6.453,0.356,139.956,4,1
4aEn6zK5li4IWUmqGSrEdp,204933,8,0.7,0.102,0.832,0.0,0.325,-5.216,0.159,100.1,4,1
2lLG56qpLP3UbcLuzMvkWX,218943,67,0.856,0.00637,0.57,0.0,0.0984,-4.486,0.286,154.967,4,1
2bjwRfXMk4uRgOD9IBYl9h,236614,73,0.925,0.0172,0.443,0.0,0.276,-8.216,0.264,136.078,4,1
0HMwZSGo2dSdpAEybsxYSG,297076,13,0.837,0.0399,0.692,6.51e-06,0.061,-5.147,0.24,90.0,4,1
2AlYncTpVHKwHb55F9lF6O,115200,75,0.868,0.703,0.479,0.0,0.102,-6.687,0.445,133.928,4,1
2MShy1GSSgbmGUxADNIao5,152000,72,0.91,0.0996,0.366,0.0,0.261,-9.954,0.0941,119.985,4,1
